Date,AAPL,GOOG,MSFT
2010-01-04,7.643214225769043,15.610239028930664,30.950000762939453
2010-01-05,7.656428813934326,15.541497230529785,30.959999084472656
2010-01-06,7.534643173217773,15.149715423583984,30.770000457763672
2010-01-07,7.520713806152344,14.797037124633789,30.450000762939453
2010-01-08,7.570713996887207,14.994297981262207,30.65999984741211
2010-01-11,7.503929138183594,14.971632957458496,30.270000457763672
2010-01-12,7.4185709953308105,14.70687484741211,30.06999969482422
2010-01-13,7.523213863372803,14.622441291809082,30.350000381469727
2010-01-14,7.479642868041992,14.691184043884277,30.959999084472656
2010-01-15,7.354642868041992,14.445853233337402,30.860000610351562
2010-01-19,7.679999828338623,14.635642051696777,31.100000381469727
2010-01-20,7.56178617477417,14.45606517791748,30.59000015258789
2010-01-21,7.431070804595947,14.520074844360352,30.010000228881836
2010-01-22,7.0625,13.69890308380127,28.959999084472656
2010-01-25,7.252500057220459,13.44958782196045,29.31999969482422
2010-01-26,7.355000019073486,13.509861946105957,29.5
2010-01-27,7.424285888671875,13.50189208984375,29.670000076293945
2010-01-28,7.117499828338623,13.307371139526367,29.15999984741211
2010-01-29,6.859285831451416,13.199027061462402,28.18000030517578
2010-02-01,6.9546427726745605,13.275738716125488,28.40999984741211
2010-02-02,6.994999885559082,13.22841739654541,28.459999084472656
2010-02-03,7.115356922149658,13.470010757446289,28.6299991607666
2010-02-04,6.85892915725708,13.120322227478027,27.84000015258789
2010-02-05,6.980713844299316,13.232650756835938,28.020000457763672
2010-02-08,6.932857036590576,13.286947250366211,27.719999313354492
2010-02-09,7.006785869598389,13.360919952392578,28.010000228881836
2010-02-10,6.968571186065674,13.311355590820312,27.989999771118164
2010-02-11,7.0953569412231445,13.35992431640625,28.1200008392334
2010-02-12,7.156428813934326,13.278229713439941,27.93000030517578
2010-02-16,7.264286041259766,13.481966018676758,28.350000381469727
2010-02-17,7.23392915725708,13.40500545501709,28.59000015258789
2010-02-18,7.247499942779541,13.529787063598633,28.969999313354492
2010-02-19,7.202499866485596,13.468517303466797,28.770000457763672
2010-02-22,7.1578569412231445,13.519326210021973,28.729999542236328
2010-02-23,7.0378570556640625,13.326798439025879,28.329999923706055
2010-02-24,7.166429042816162,13.237133979797363,28.6299991607666
2010-02-25,7.214285850524902,13.111603736877441,28.600000381469727
